date, state, city, place_type, confirmed, deaths, order_for_place, is_last, estimated_population_2019, estimated_population, city_ibge_code, confirmed_per_100k_inhabitants, death_rate
2021-04-12, SP, Adolfo, city, 328, 9, 333, True, 3562, 3554, 3500204, 9229.03770
2021-04-13, PR, Adrianópolis, city, 1034, 20, 306, True, 5919, 5857, 4100202, 17654.08912
2021-04-12, BA, Adustina, city, 518, 9, 367, True, 17040, 17126, 2900355, 3024.64090
2021-04-12, PE, Afogados da Ingazeira, city, 3175, 46, 337, True, 37259, 37404, 2600104, 8488.39696
2021-03-16, RN, Afonso Bezerra, city, 294, 11, 209, True, 11035, 11029, 2400307, 2665.69952
2021-04-12, ES, Afonso Cláudio, city, 2948, 48, 359, True, 30586, 30455, 3200102, 9679.85552
2021-04-12, MA, Afonso Cunha, city, 155, 2, 329, True, 6524, 6578, 2100105, 2356.33931
2021-04-12, PE, Afrânio, city, 630, 9, 337, True, 19635, 19810, 2600203, 3180.21201
2021-04-12, PA, Afuá, city, 2799, 14, 354, True, 39218, 39567, 1500305, 7074.07688
2021-04-12, PE, Agrestina, city, 1057, 39, 342, True, 24885, 25065, 2600302, 4217.03571
2021-04-12, PI, Agricolândia, city, 220, 3, 306, True, 5139, 5131, 2200103, 4287.66322
2021-04-12, SC, Agrolândia, city, 848, 10, 318, True, 10864, 11013, 4200200, 7699.99092
2021-04-12, SC, Agronômica, city, 418, 9, 326, True, 5448, 5509, 4200309, 7587.58395
2021-03-31, MG, Aguanil, city, 307, 7, 266, True, 4486, 4522, 3100807, 6789.03140
2021-04-12, SP, Aguaí, city, 1682, 39, 340, True, 36305, 36648, 3500303, 4589.60926
2021-04-12, RS, Agudo, city, 905, 12, 291, True, 16461, 16401, 4300109, 5517.95622
2021-04-12, SP, Agudos, city, 2204, 50, 361, True, 37214, 37401, 3500709, 5892.89056
2021-04-13, PR, Agudos do Sul, city, 424, 7, 339, True, 9371, 9470, 4100301, 4477.29673
2021-04-12, PB, Aguiar, city, 256, 3, 302, True, 5640, 5630, 2500205, 4547.06927
2021-04-11, TO, Aguiarnópolis, city, 505, 11, 345, True, 6733, 6892, 1700301, 7327.33604
2021-03-31, MG, Aimorés, city, 1484, 36, 311, True, 25167, 25141, 3101102, 5902.70872
2021-04-12, BA, Aiquara, city, 434, 9, 355, True, 4446, 4416, 2900603, 9827.89855
2021-04-12, CE, Aiuaba, city, 317, 9, 331, True, 17399, 17493, 2300408, 1812.15343
2021-03-31, MG, Aiuruoca, city, 79, 5, 257, True, 6003, 5976, 3101201, 1321.95448
2021-04-12, RS, Ajuricaba, city, 621, 22, 337, True, 7024, 6987, 4300208, 8887.93474
2021-03-31, MG, Alagoa, city, 252, 2, 257, True, 2674, 2665, 3101300, 9455.90994
2021-04-12, PB, Alagoa Grande, city, 2350, 44, 327, True, 28496, 28439, 2500304, 8263.30040
2021-04-12, PB, Alagoa Nova, city, 683, 13, 329, True, 20849, 20921, 2500403, 3264.66230
2021-04-12, PE, Alagoinha, city, 470, 13, 347, True, 14636, 14718, 2600609, 3193.36866
2021-04-12, PB, Alagoinha, city, 1323, 21, 317, True, 14489, 14560, 2500502, 9086.53846
2021-04-12, PI, Alagoinha do Piauí, city, 243, 9, 320, True, 7651, 7665, 2200251, 3170.25440
2021-04-12, BA, Alagoinhas, city, 10365, 195, 376, True, 151596, 152327, 2900702, 6804.44045
2021-04-12, SP, Alambari, city, 400, 9, 347, True, 6025, 6129, 3500758, 6526.35014
2021-03-31, MG, Albertina, city, 166, 6, 257, True, 3007, 3011, 3101409, 5513.11857
2021-04-12, PB, Alcantil, city, 239, 6, 294, True, 5492, 5509, 2500536, 4338.35542
2021-03-30, MS, Alcinópolis, city, 102, 4, 355, True, 5343, 5417, 5000252, 1882.96105
2021-04-12, BA, Alcobaça, city, 1170, 17, 311, True, 22470, 22490, 2900801, 5202.31214
